contig	contig_length	window	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	US-CAOx	US-WIOr	JP-Hok	DE-Jen2	JP-Kan	FR-Lez2	IT-Tre2
NW_023496807.1	14656957	0	0.0053303407642934664	0.005767923970553156	0.005760065383722798	0.006565889937099138	0.0069373444728645485	0.0047167094710223335	0.005541509080255222	0.005841946415743003	0.005905927694747086	0.008009286015827075	0.007199148426446457	0.006625424789648448	0.006021947186495812	0.0067185514467182645	0.01172741450429042	0.006183036777598487	0.005264152252795642	0.006164944950380133	0.005568752214988185	0.00597089913843135	0.006056312849517378	0.005343714986249725	0.007662602060099289	0.007321424426515786	0.006976048049984648	0.006978468155715508	0.007519596012772921	0.006571140148503446	0.0053184357365679115
NW_023496807.1	14656957	1	0.00620815716548659	0.00667278746311849	0.006427652661871011	0.007915044475924119	0.008089234412400545	0.005278393158730977	0.006295065000413971	0.006868132983636687	0.006751042431584323	0.009103751264619408	0.008108586810257992	0.007904967022424499	0.006736098100704707	0.00755923739010927	0.012554244076043162	0.007139222714316782	0.0062642144917606874	0.006823143038080228	0.0066458205565655334	0.006851953010737488	0.006561512354249075	0.0060520414528371395	0.008339352097102598	0.007875919027196662	0.008142441575433803	0.007657128404427042	0.008374625897930081	0.00705472898242208	0.005880563273899113
NW_023496807.1	14656957	2	0.004991898675570044	0.0054578965747323184	0.005158456706634944	0.006342450963803649	0.006565264617370429	0.004464035280132827	0.005259716861625541	0.005685378460458686	0.005664751606480903	0.007493591586065421	0.006751826682479186	0.0063562205138773765	0.005519318366293953	0.006084738508137023	0.011626605272217599	0.005803524482926018	0.004964859106048982	0.005571141802986371	0.005801077941795652	0.00569213014487344	0.0052952283627229	0.005140204134251735	0.0069200976489115365	0.0068121473111892395	0.006590510188363638	0.00637919527833884	0.006795896758891607	0.005915260156483791	0.004963854014782434
NW_023496807.1	14656957	3	0.008134287593101383	0.008625407843115912	0.00851390500407516	0.00985540533232726	0.010241089580905435	0.00770837448337416	0.00836226899601587	0.008947907994115607	0.008978661043680294	0.011294343053960695	0.010255600153308184	0.00998453465811451	0.008674563043096516	0.00955648039677714	0.015133439730459946	0.009295320912433349	0.007857733385689753	0.00892388505313379	0.008490104669106218	0.008774323752145258	0.008315977802504915	0.0083364243426795	0.010329933312895072	0.009914527307253534	0.010218589706737922	0.009534853428802332	0.010409717657391392	0.008995997882076502	0.00805737241892272
NW_023496807.1	14656957	4	0.012955685143139951	0.0134769554392816	0.013408593340567546	0.01528100222578345	0.015409608411888367	0.012373838615237536	0.01328919212803209	0.01354948041957507	0.013714609834265343	0.01565270571344385	0.015115269831101638	0.015263933497350252	0.01345222918807825	0.0144207075277564	0.018129146571425187	0.013806518901344149	0.011825911731852467	0.013852110170076835	0.011966050114147003	0.013206799467397938	0.012734183227434583	0.01295264836664291	0.014956912136880952	0.01464788002929953	0.014969554648107645	0.014362169071588847	0.015459883396285791	0.013955505775757833	0.012728312856879871
NW_023496807.1	14656957	5	0.01786686602819002	0.018985012576442414	0.01870122284963469	0.021553270045125892	0.021376551753911805	0.016772702934275314	0.018189352990218777	0.019072869436020587	0.019162385077055106	0.02215818436598036	0.02144026107730141	0.021775485937846624	0.01881966745987841	0.020262907194406352	0.02477718991260829	0.019786262272812077	0.016761150913921375	0.019310116342602848	0.01706157967625688	0.018257627136040556	0.017888078924372372	0.017522215499501385	0.02078590405606891	0.020251453716656976	0.021684199968031517	0.01959023275877672	0.021660765793091775	0.01916730252730603	0.0173881927046197
NW_023496807.1	14656957	6	0.014170925953325093	0.014941977920705245	0.014785412185635506	0.017060017071962107	0.017096891399511833	0.013339708631199397	0.014444300861616443	0.015137922026571488	0.015088931694570954	0.01768233109848945	0.0169261923131429	0.01696157913289967	0.014988951344555619	0.015904003121130942	0.021321829131527647	0.015204969082657898	0.013369717044811581	0.015114713771459218	0.013892733727292515	0.01450856430382656	0.014184630346279568	0.013939360713376297	0.016452056432530053	0.01632329878693928	0.01691547623146202	0.015568176758277628	0.016982144852902187	0.015358976517589733	0.013726007016251334
NW_023496807.1	14656957	7	0.016817971920129363	0.018000303283545394	0.017811758052673623	0.02066760191986112	0.020742430498123122	0.0161474027028595	0.017400084990970847	0.01801601655636822	0.01802000603535545	0.02076965289940746	0.02013762434627193	0.02093209967828934	0.017808703798167316	0.018510935526279425	0.024020250690765414	0.018089811180041264	0.015880684570360907	0.018008029412143585	0.01654976977212639	0.016965176905680848	0.016668476932219997	0.016996550641598468	0.019497261165415763	0.01903621524119678	0.020061715003853377	0.018457459741209613	0.02034242936978802	0.018306168442451712	0.016625145632778452
NW_023496807.1	14656957	8	0.017922328490875144	0.018699642854185565	0.018501879101534276	0.021538540759183603	0.021779353955791423	0.017366177556372358	0.018413245091467745	0.018550860267268543	0.01901537126336268	0.022310868845566455	0.021720593592268977	0.021664925346265844	0.018426434889084898	0.019800642197719844	0.024909637032851963	0.01945946043239642	0.016058599432106344	0.018894765209830962	0.017004323889567168	0.017293874293487447	0.01756860160362089	0.017675668055900817	0.020310263773245747	0.019783919537276057	0.021578365112844156	0.01947479017526827	0.021954447930922064	0.01903140013333198	0.016871445922395225
NW_023496807.1	14656957	9	0.018017166510432035	0.01927449661420607	0.019030827234749855	0.02204412675833861	0.02215150975861181	0.017715928224405507	0.01855025876797254	0.019159289417586853	0.0197007136471394	0.022666763645679697	0.02192254475218877	0.022228589484467945	0.019269663705327466	0.02021814799835936	0.025094200190496706	0.01930987959044515	0.016735466202231528	0.0197058884770542	0.017182427271140433	0.01866604295965205	0.018261328136415463	0.017657291772545887	0.02085047071022223	0.020618845074253492	0.022041440280612206	0.019651832443909285	0.022145068490913616	0.01980711814648985	0.017187792465468477
